路径,字节,Git跟踪,处理建议
output/kawaii_jelly_v001/真实鼠标拖拽采样.json,74750,True,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v001/Q弹果冻_可交互_v001.blend.import,1732,False,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v001/renders/render.log,9526,False,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v001/renders/果冻_弹性形变.png.import,994,False,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v001/renders/果冻_弹性形变.png,1320118,True,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v001/renders/果冻_静止.png.import,976,False,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v001/renders/果冻_静止.png,1330261,True,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v001/renders/squash_render.log,9964,False,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v001/scripts/render_squash.py,439,True,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v001/scripts/build_jelly.py,7881,True,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v001/scripts/reopen_mcp.py,243,True,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v001/scripts/test_jelly.py,2331,True,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v003/scripts/test_solid_contact.py,2979,True,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v003/scripts/upgrade_scene.py,2216,True,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v003/scripts/test_gravity.py,4285,True,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v003/scripts/extend_controller.py,13427,True,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v003/scripts/solid_finger_upgrade.py,8369,True,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v003/scripts/test_pressure_clone.py,3206,True,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v002/scripts/upgrade_scene.py,2389,True,其他项目样例：建议迁出，非自动删除许可
output/kawaii_jelly_v002/scripts/test_gravity.py,4269,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/renders/02_正视.png.import,971,False,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/renders/render.log,106492,False,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/renders/03_俯视.png.import,970,False,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/renders/01_参考轴测.png.import,989,False,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/renders/02_正视.png,1958681,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/renders/03_俯视.png,1710105,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/renders/render_views.log,452983,False,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/renders/04_家具近景.png,2284804,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/renders/01_参考轴测.png,2083061,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/renders/04_家具近景.png.import,989,False,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/renders/final_render.log,450954,False,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/renders/overview_refresh.log,364216,False,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/component_packages/catalog.json,35223,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/component_packages/tree.txt,732,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/scripts/05_finish.py,3732,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/scripts/refresh_overviews.py,407,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/scripts/07_wall_joint.py,187,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/scripts/06_layout_clearance.py,265,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/scripts/audit_scene.py,2831,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/scripts/02_details.py,12958,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/scripts/01_room.py,12931,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/scripts/03_render.py,2732,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/scripts/render_views.py,461,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/scripts/04_refine.py,4779,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/scripts/rebuild.py,850,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/iterations/最终保存前自动备份.blend,14214832,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/iterations/最终保存前自动备份.blend.import,1757,False,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/iterations/首轮轴测_修正前.png.import,1013,False,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/iterations/首轮轴测_修正前.png,2092418,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/reference/设计稿.png,2223196,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/reference/设计稿.png.import,973,False,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/component_packages/room_17/asset_manifest.json,3157,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/component_packages/room_10/asset_manifest.json,1689,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/component_packages/room_11/asset_manifest.json,11402,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/component_packages/room_16/asset_manifest.json,1555,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/component_packages/room_05/asset_manifest.json,709,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/component_packages/room_02/asset_manifest.json,1999,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/component_packages/room_03/asset_manifest.json,532,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/component_packages/room_04/asset_manifest.json,2810,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/component_packages/room_13/asset_manifest.json,1185,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/component_packages/room_14/asset_manifest.json,689,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/component_packages/room_15/asset_manifest.json,1164,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/component_packages/room_12/asset_manifest.json,859,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/component_packages/room_01/asset_manifest.json,1377,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/component_packages/room_06/asset_manifest.json,679,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/component_packages/room_08/asset_manifest.json,612,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/component_packages/room_09/asset_manifest.json,456,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/component_packages/room_07/asset_manifest.json,615,True,其他项目样例：建议迁出，非自动删除许可
output/reference_pink_room_v001/component_packages/room_00/asset_manifest.json,788,True,其他项目样例：建议迁出，非自动删除许可
